,tailnum,type,manufacturer,issue_date,model,status,aircraft_type,engine_type,PlaneYear
2237,N582SW,Corporation,EMBRAER,05/26/1999,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1999
2238,N582UA,Corporation,BOEING,05/20/1993,757-222,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1993
2239,N583AA,Corporation,MCDONNELL DOUGLAS,08/07/1991,DC-9-82(MD-82),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
2240,N583AS,Corporation,BOEING,08/13/2007,737-890,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
2241,N583JB,Corporation,AIRBUS,01/07/2004,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
2242,N583NW,Corporation,BOEING,09/23/2002,757-351,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2002
2243,N583SW,Corporation,EMBRAER,06/22/1999,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1999
2244,N583UA,Corporation,BOEING,09/01/1994,757-222,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1993
2245,N584AA,Corporation,MCDONNELL DOUGLAS,09/30/1991,DC-9-82(MD-82),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
2246,N584AS,Corporation,BOEING,09/04/2007,737-890,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
2247,N584NW,Corporation,BOEING,10/16/2002,757-351,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2002
2248,N584SW,Corporation,EMBRAER,07/27/1999,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1999
2249,N584UA,Corporation,BOEING,06/25/1993,757-222,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1993
2250,N585AA,Corporation,MCDONNELL DOUGLAS,08/23/1991,DC-9-82(MD-82),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
2251,N585AS,Corporation,BOEING,09/24/2007,737-890,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
2252,N585JB,Corporation,AIRBUS,02/11/2004,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
2253,N585NW,Corporation,BOEING,11/04/2002,757-351,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2002
2254,N585SW,Corporation,EMBRAER,08/26/1999,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1999
2255,N585UA,Corporation,BOEING,07/14/1993,757-222,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1993
2256,N58606,Corporation,BOEING,03/22/1994,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1994
2257,N586AA,Corporation,MCDONNELL DOUGLAS,08/28/1991,DC-9-82(MD-82),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
2258,N586AS,Corporation,BOEING,10/05/2007,737-890,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
2259,N586JB,Corporation,AIRBUS,02/17/2004,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
2260,N586NW,Corporation,BOEING,11/22/2002,757-351,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2002
2261,N586SW,Corporation,EMBRAER,09/22/1999,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1999
2262,N586UA,Corporation,BOEING,07/30/1993,757-222,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1993
2263,N587AA,Corporation,MCDONNELL DOUGLAS,09/30/1991,DC-9-82(MD-82),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
2264,N587HA,Corporation,BOEING,09/23/2002,767-33A,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
2265,N587JB,Corporation,AIRBUS,04/01/2004,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
2266,N587NW,Corporation,BOEING,12/17/2002,757-351,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2002
2267,N587SW,Corporation,CANADAIR,06/30/1995,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1995
2268,N587UA,Corporation,BOEING,08/12/1993,757-222,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1993
2269,N588AA,Corporation,MCDONNELL DOUGLAS,09/30/1991,DC-9-83(MD-83),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
2270,N588AS,Corporation,BOEING,12/06/2007,737-890,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
2271,N588HA,Corporation,BOEING,10/25/2002,767-3CB,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2002
2272,N588JB,Corporation,AIRBUS,05/13/2004,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
2273,N588NW,Corporation,BOEING,02/04/2003,757-351,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2003
2274,N588SW,Corporation,CANADAIR,06/30/1995,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1995
2275,N588UA,Corporation,BOEING,08/16/1993,757-222,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1993
2276,N588US,Corporation,BOEING,10/30/2006,737-301,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1988
2277,N589AA,Corporation,MCDONNELL DOUGLAS,09/30/1991,DC-9-83(MD-83),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
2278,N589AS,Corporation,BOEING,12/12/2007,737-890,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
2279,N589HA,Corporation,BOEING,11/14/2002,767-33A,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
2280,N589JB,Corporation,AIRBUS,06/04/2004,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
2281,N589NW,Corporation,BOEING,04/09/2003,757-351,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2003
2282,N589SW,Corporation,CANADAIR,06/29/1995,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1995
